attempt_id,gps_distance_m,time_gap_minutes,call_made,is_cod,exec_historical_fake_rate,minutes_to_shift_end,pincode_tier,credibility_score,profile
c97f427a-2e27-447a-9749-79c55187b894,2981.1,20.7,0,0,0.1548,18.4,1,0.45,LAZY_SKIP
040ec044-71b4-4a93-9ce9-0f1087343d2a,45.3,30.0,1,1,0.0456,463.0,1,0.9655,GENUINE_ATTEMPT
0e592581-c249-4087-aa3f-e21ad54c3c90,1086.3,6.8,0,1,0.3235,14.1,3,0.3,SHIFT_END_DUMP
5d8c58a3-ac73-4212-be19-88e2a279be79,143.0,40.7,1,0,0.0451,253.0,1,0.8795,GENUINE_ATTEMPT
4907ecff-bb67-4afb-a342-7dff1af18b2d,202.5,15.8,1,1,0.0555,136.2,2,0.8772,GENUINE_ATTEMPT
746ef2ea-bbd9-418d-995d-b3e20f517b2a,91.2,47.6,0,0,0.0401,211.2,2,0.75,GENUINE_ATTEMPT
03d9193c-ab72-4433-b7cf-cc276979dc13,276.9,15.6,0,0,0.061,128.9,2,0.75,GENUINE_ATTEMPT
da7427e4-dc25-49b9-a528-7147f3b3f9d3,10.0,44.0,1,0,0.064,306.1,1,0.8607,GENUINE_ATTEMPT
3cca6394-ef73-405f-ac50-043d2996eb29,73.6,37.1,0,0,0.0625,194.4,2,0.75,GENUINE_ATTEMPT
9d615e33-da38-4684-a3dc-6eb502928537,25.6,41.0,0,0,0.0702,199.9,2,0.7736,GENUINE_ATTEMPT
952ded43-6678-445d-9f95-c811472a629c,179.7,47.2,1,1,0.0895,307.7,2,0.8732,GENUINE_ATTEMPT
e1ef54a3-1005-449d-84be-2419cc2f8ac0,12.3,17.7,1,1,0.0346,275.5,1,0.8671,GENUINE_ATTEMPT
03d20c8c-d988-46ea-915f-aa961d401436,1806.5,5.7,0,0,0.1395,5.6,3,0.3,SHIFT_END_DUMP
98d42530-f535-4a03-b899-46ab9fdc2fa1,107.0,30.5,1,0,0.0489,293.6,3,0.8529,GENUINE_ATTEMPT
0cc169b0-64cb-48bb-8379-a9263ed09f73,149.9,33.1,1,1,0.0577,125.7,1,0.9302,GENUINE_ATTEMPT
c13d001a-cdb1-4745-b723-b286e7d583f4,386.3,55.7,1,0,0.0527,265.6,2,0.8924,GENUINE_ATTEMPT
a4844843-55e5-4d5e-b709-80df95ee3c49,152.1,21.9,1,0,0.0467,361.5,2,0.9091,GENUINE_ATTEMPT
f8dd40ea-e0cd-4b2d-bffe-d5c51b22b719,1780.6,11.1,0,1,0.1904,73.3,2,0.45,LAZY_SKIP
762f89a7-8269-448e-9359-72c5f4c6a599,5426.8,7.4,0,1,0.1688,1.0,3,0.2034,SHIFT_END_DUMP
81a3fe11-7e40-4a15-8c01-e76c00aafa9c,331.5,59.4,1,0,0.0,315.4,1,0.8688,GENUINE_ATTEMPT
f051c657-0bc0-4f18-9485-98ce0514077d,314.3,26.4,0,0,0.0348,429.6,1,0.75,GENUINE_ATTEMPT
2f5de1c1-c416-449b-93ad-3b9838cbe6b4,165.3,32.7,1,1,0.0684,79.6,1,0.9763,GENUINE_ATTEMPT
87fee4df-bff4-4864-bc36-cd410416de5f,215.1,38.0,0,0,0.0327,256.1,2,0.75,GENUINE_ATTEMPT
339df255-b05f-4bbb-b46c-36e5f25d6274,399.0,44.7,0,1,0.0925,123.4,2,0.5,GENUINE_BORDERLINE
1225842c-5d03-4ca6-b488-a8b6834f455b,145.1,40.1,1,0,0.0485,345.3,1,0.9193,GENUINE_ATTEMPT
b03f435f-e7f8-4c78-ab2c-64ae0a6cddff,110.9,15.4,1,0,0.0076,85.3,2,0.8733,GENUINE_ATTEMPT
13312ad9-70ae-494b-8b3b-bb8ceda2e18a,185.5,10.4,1,0,0.0378,269.6,3,0.8612,GENUINE_ATTEMPT
a961ee88-f370-4c55-b952-a0426c37ef7c,134.5,33.0,0,0,0.052,281.9,2,0.75,GENUINE_ATTEMPT
839c511f-a286-4f6a-a47a-db34f15c8b59,230.8,29.6,1,0,0.0464,91.3,2,0.8361,GENUINE_ATTEMPT
35f218f4-f275-4336-87e8-9165de85d1ee,1464.2,5.6,0,1,0.2654,151.1,1,0.4317,LAZY_SKIP
d52a17ee-cc2f-4b4f-b992-8b848c7e68cb,231.3,35.0,1,0,0.0481,134.7,1,0.8589,GENUINE_ATTEMPT
